learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_rf,bayes,19,0.1209447209973783,0.2309208048452625,2d,1.2645296097763798
x_rf,bayes,20,0.0890375196758289,0.1171268193612765,2d,1.2749115623735874
x_rf,bayes,21,0.1403797534372003,0.4417009934395629,2d,1.2661382499130431
x_rf,bayes,22,0.164979231280991,0.242620740661,2d,1.2206031082929634
x_rf,bayes,23,0.115818626155205,0.3377227789977232,2d,1.202839547025114
x_rf,bayes,24,0.1187063799129124,0.2072464331476251,2d,1.2840588887898
x_rf,bayes,25,0.1950843100969182,0.2350387592867943,2d,1.1479118020692094
x_rf,bayes,26,0.1414019061638044,0.1644344850116581,2d,1.2466457179039905
x_rf,bayes,27,0.2199795838538787,0.2008637991665556,2d,1.24930321989508
x_rf,bayes,28,0.1996413526053182,0.2135213892354305,2d,1.1675447029001695
x_rf,bayes,29,0.1583479159137268,0.3064165928682668,2d,1.2136798098116472
x_rf,random,0,0.1589845400957277,0.1773053958233431,2d,1.1641777223294236
x_rf,random,1,0.3002209143493462,0.4097244951665687,2d,1.141406184954499
x_rf,random,2,0.0807962093386911,0.1642450787193374,2d,1.2490842167649068
x_rf,random,3,0.266792611376253,0.3161120764778678,2d,1.1833858000356932
x_rf,random,4,0.0937609601069605,0.2036186770364584,2d,1.2140013342711993
x_rf,random,5,0.1092626778071626,0.2397431644883603,2d,1.2085953576176436
x_rf,random,6,0.1629333387630242,0.2950873872102337,2d,1.1618644035360886
x_rf,random,7,0.1127644831177025,0.2058192726461828,2d,1.2307873602427504
x_rf,random,8,0.1735367163492621,0.4736345640129087,2d,1.2395131708285625
x_rf,random,9,0.1200917414291923,0.2420398044165974,2d,1.2191282219386672
x_rf,random,10,0.1412805139458341,0.3607138233313012,2d,1.1653132164573454
x_rf,random,11,0.092178688988871,0.2189015039271071,2d,1.1846340047783868
x_rf,random,12,0.1411524800304902,0.2482585729632276,2d,1.3018559227997557
x_rf,random,13,0.1310786855499093,0.2283019881395287,2d,1.171305526511199
x_rf,random,14,0.0801348568919773,0.3769481803564852,2d,1.1873332376368702
x_rf,random,15,0.0999865492532027,0.2072544448111862,2d,1.2571078309117305
x_rf,random,16,0.1674176170012982,0.2160369642828624,2d,1.2787174616148145
x_rf,random,17,0.1371204527023504,0.2019088952402289,2d,1.2120899866859145
x_rf,random,18,0.079228447838981,0.2440946545869984,2d,1.2379352382019022
x_rf,random,19,0.1209447209973783,0.2309208048452625,2d,1.2645296097763798
